1.0, 1.0, 1.0, 1.0
0.96, 0.7159, 0.5563, 0.4119
0.92, 0.4704, 0.2868, 0.1912
0.88, 0.2841, 0.173, 0.1389
0.84, 0.1516, 0.1285, 0.1148
0.8, 0.0577, 0.1052, 0.0959
0.76, -0.0119, 0.0875, 0.0798
0.72, -0.066, 0.0714, 0.0661
0.68, -0.1097, 0.0550, 0.0540
0.64, -0.1452, 0.0369, 0.0432
0.60, -0.1732, 0.0159, 0.0328
0.56, -0.1937, -0.0092, 0.0224
0.52, -0.2067, -0.0391, 0.012
0.48, -0.212, -0.0734, 0.0015
0.44, -0.21, -0.1113, -0.0099
0.40, -0.2017, -0.1505, -0.0242
0.36, -0.1886, -0.1872, -0.0435
0.32, -0.1722, -0.2159, -0.0701
0.28, -0.1539, -0.2319, -0.1063
0.26, -0.1444, -0.2341, -0.1284
0.24, -0.1349, -0.2324, -0.1528
0.20, -0.1155, -0.2176, -0.2049
0.16, -0.0955, -0.1903, -0.2512
0.12, -0.0748, -0.1540, -0.2754
0.08, -0.0529, -0.1111, -0.2611
0.04, -0.0286, -0.0608, -0.1812
0.0, 0.0, 0.0, 0.0
